"to","from","UMAP1.from","UMAP2.from","module.from","kME.from","hub.from","UMAP1.to","UMAP2.to","module.to","kME.to","hub.to"
"AceA","NrdA",0.477994007423666,3.61468248591574,"red",0.186877678431642,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","GGDEF",4.43186621125057,-2.59362585320322,"green",0.608309904336268,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YoaI",-5.87192817275212,-0.903521636866016,"brown",0.0514637405324113,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","MdoB",-3.34355159346745,3.23029093966635,"brown",0.0580271458726615,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","OprP",-8.06134601180241,1.25878935084494,"brown",0.27608721079503,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","CpxP",6.68345264847591,2.24948530421408,"turquoise",0.104745248639923,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","NtrY",4.46938423569515,-2.99698467030375,"green",0.219269588331967,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FepB",1.23956946785763,-0.525447661422176,"yellow",0.333907296741191,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PpiB",6.45899252350643,-0.243587950609607,"turquoise",0.150597459042435,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","InfC",-2.26033659522221,-3.36141915097086,"blue",0.115107582905976,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","AccD",4.31421999390438,1.81075339541586,"turquoise",0.121574065228755,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","LytD",-2.63108141963169,0.743949940063076,"black",0.206212300034439,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","eMpr",-7.36525292937443,1.24208049998434,"brown",0.270692004943886,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FlhA",-1.62245299164936,-1.94622952713816,"blue",0.113009203755025,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","CobJ",-3.07073851172611,1.03461592421682,"black",0.073893591805227,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PilW",6.82497505600765,-2.33645159973948,"green",0.176403365368971,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PulF",5.89769749100521,-3.82117624058573,"green",0.325340738887051,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FlgM",5.32048611100033,-4.55457491650431,"green",0.462964090321124,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","AtpF",2.59862737114742,1.81274490580709,"turquoise",0.190791646996887,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FbpB",-1.42269601170704,-4.54803056492655,"blue",0.114518419610031,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","ComGF",-0.135781365081522,-1.14896384849398,"yellow",0.0902213031355725,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PilX",6.94901470597103,-0.748529134683294,"turquoise",0.134073652766272,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","CspC",6.82574562485531,-2.37229616417734,"green",0.276066004192388,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PPK2",6.37010006363704,1.07710163817556,"turquoise",0.282039840615104,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","Kch",6.40133242066219,0.18468522057684,"turquoise",0.0653891723957963,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","LldP",7.21643166001156,1.19966392741354,"turquoise",0.375259763387284,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PTR2",-6.77950568740055,1.93355422244223,"brown",0.20989944657012,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FkpA",-6.72216029708073,1.90111212954672,"brown",0.239878684247454,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YhfA",5.59539703781917,-2.53939909710733,"green",0.113394711685363,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG4946",-6.12383885924504,1.72587328181417,"brown",0.139178371949486,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","AtoC",5.30044655258968,-3.05500526203959,"green",0.422186955171642,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YmdB",-1.24338589851544,-4.16098088993876,"blue",0.0440279110804158,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","Uma2",-3.54705091063664,-3.67947215809671,"blue",0.0629805757886795,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","RhsA",5.51746754105404,-2.6601372457966,"green",0.306359136348673,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PurC",0.625911874130514,1.1690555118099,"yellow",0.175070466239438,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","RbsK",-3.22693868224308,3.49118643031271,"brown",0.0566909044943202,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
