"gene","UMAP1","UMAP2","module","kME","hub"
"GuaA1",-0.943780816954813,-1.73384290450714,"turquoise",0.197038639444886,"other"
"GuaA2",-0.991238035124979,-1.75829141849182,"turquoise",0.20790919352178,"other"
"RpsD",-4.24025181667253,-2.40461951011322,"turquoise",0.811162497751029,"other"
"ValS",-4.00893381969377,-5.52493124717376,"turquoise",0.316641805256186,"other"
"MetL1",-3.39107111827775,-5.29605227225921,"turquoise",0.43328354086645,"other"
"InfB",-4.29683331386491,-5.55718212836883,"turquoise",0.530848919377801,"other"
"Ffh",0.146870307760992,-2.12374466174743,"turquoise",0.0837472927301279,"other"
"Mcr1",-3.31468895809098,-2.46302538627289,"turquoise",0.188077022649889,"other"
"Tig",-4.1699874772255,-5.6345260691037,"turquoise",0.488402892758917,"other"
"FkpA",-2.42041281597062,0.0207755762944433,"turquoise",0.359548891071792,"other"
"Gph",-3.04140285388871,-3.2359562467923,"turquoise",0.189353699900472,"other"
"FtsY",-2.61134222881242,-2.58369594329498,"turquoise",0.15680899624504,"other"
"VacB",-1.48390916721269,0.770470564425966,"turquoise",0.330161791069112,"other"
"RluA",-1.99978665248796,-0.0419811558117655,"turquoise",0.158725558113988,"other"
"SucA",0.247209988671103,6.80664605385163,"brown",0.255077653168257,"other"
"RpoD",-1.70690516368791,1.70532483345368,"turquoise",0.279667884753832,"other"
"PpsA",0.487395595895805,7.01264113670685,"brown",0.256861224853748,"other"
"DnaN",-1.91237095729753,-1.78207545989654,"turquoise",0.267644143712492,"other"
"DnaA",-1.44661883251115,2.6346344400058,"turquoise",0.203885526955207,"other"
"SodA",-1.35174421207353,2.97908467537262,"brown",0.12730214981042,"other"
"PqqL",-1.44547764198228,2.62455934769013,"turquoise",0.265278477878151,"other"
"TagD",0.220279269057074,-1.50499146693847,"turquoise",0.257160079004357,"other"
"MetE",-4.86390618221208,-5.25838833564422,"turquoise",0.649958929390694,"other"
"MiaB",-1.73501304523393,-0.294969740151384,"turquoise",0.192215838416917,"other"
"FabI",-1.42986027137681,2.80525035148957,"turquoise",0.236257738398171,"other"
"Fdx",-3.27448276416703,-3.21732025855682,"turquoise",0.21247692895788,"other"
"AtpE",-0.427869774264536,5.57993573433258,"brown",0.103815216679452,"other"
"CheA",9.93048115833358,4.17377919441559,"blue",0.113916584347289,"other"
"FixC",-0.164615191382608,5.9089309621463,"brown",0.0993829651044196,"other"
"NuoD",-0.466709054869852,6.06197375542023,"brown",0.152299881426488,"other"
"SecA",-3.10073069469377,-1.03503071778915,"turquoise",0.387364694095388,"other"
"YbhL",-1.02143434421464,4.44700640922882,"brown",0.0417568172771679,"other"
"MviM",-1.75457648174211,-2.35121923202179,"turquoise",0.26448515612737,"other"
"WecC",0.414065547424116,-1.38211267703674,"turquoise",0.210630113994765,"other"
"AHP1",-1.36137477294847,3.20870131737091,"turquoise",0.333419387905605,"other"
"MetF",-1.19136778251573,-2.34834318870209,"turquoise",0.115835862887426,"other"
"PotD",-1.5866670979683,2.3801817346225,"turquoise",0.415582158382746,"other"
"GrxC",-1.3360921515648,3.32315630203583,"turquoise",0.329626276306907,"other"
"YidC",-4.35984591380998,-5.51609545463226,"turquoise",0.490396977896555,"other"
"AtpH",-1.34799126521989,3.28672498947479,"turquoise",0.357593210046623,"other"
"Dcd",-1.44851449863358,-4.11007719749115,"turquoise",0.235161028174899,"other"
"GatC",-3.06163028613969,-3.35843258613251,"turquoise",0.108728187622277,"other"
"AroG1",-1.43876782791062,2.12868589645722,"turquoise",0.168391906739299,"other"
"QcrA/PetC",-3.76896695033952,-1.32766013854645,"turquoise",0.275680811833146,"other"
