"gene","UMAP1","UMAP2","module","kME","hub"
"RplE",5.84396566276668,-3.11715151396665,"blue",0.341170624893259,"other"
"RpsH",5.03931201820492,-3.66112090674314,"blue",0.212727648164193,"other"
"RplF",4.51944221382259,-6.19236804572019,"blue",0.378334245008382,"other"
"RpsE",4.73682845955013,-0.201077178391543,"yellow",0.0642381760638202,"other"
"RpsM",4.03445757751583,-4.31067611304196,"blue",0.246374570563402,"other"
"RpsK",4.30459655647396,-5.7394938620654,"blue",0.31058769208504,"other"
"RplM",6.23971141700863,-3.91216613379392,"blue",0.36210508442474,"other"
"RpsI",4.87986768608211,-6.22382070151242,"blue",0.464285942302886,"other"
"WbbJ",0.292260868598211,5.7100534287366,"turquoise",0.113272503673679,"other"
"SerA",7.07105792884945,-3.69853545752439,"blue",0.331335411220205,"other"
"GlyA",4.60370172386287,-6.83325435248288,"blue",0.290220967340864,"other"
"IlvE",6.70078481559871,-3.95674945441159,"blue",0.327497828119082,"other"
"RlmL",3.66932953720211,-5.95622588721189,"blue",0.0580354923759212,"other"
"LeuA",-3.91669832343937,3.40071271332827,"turquoise",0.0755702022483932,"other"
"RdgB",4.78813852195858,-2.36285831061277,"blue",0.181358599661878,"other"
"PurH",4.3573349845898,-2.92714144316587,"blue",0.243744555691298,"other"
"RsmB",0.988578034688223,4.7472119179639,"blue",0.111146841126119,"other"
"Eno",4.09601200943111,-3.92643548575315,"blue",0.219462429615923,"other"
"PurM",3.69266737823604,-2.46550275412473,"blue",0.202111029007417,"other"
"GatA",-4.75045095558048,7.25614832314578,"turquoise",0.174482510565828,"other"
"BioF",5.60463298683285,-1.86488367644223,"blue",0.350028583037991,"other"
"TyrS",4.20124186401485,-4.5350637587634,"blue",0.16361975617082,"other"
"Pgi",1.24827475671886,4.2710246888074,"turquoise",0.0685371864008968,"other"
"AroE",-0.0733160244929907,5.55487297448245,"turquoise",0.0578824750544776,"other"
"SerS",4.90685380821346,-2.9015348109332,"blue",0.296780585200111,"other"
"AspS",3.99957789306759,-4.50655557242307,"blue",0.2806371167319,"other"
"GlnA",-0.0869260894763586,5.5228442994031,"turquoise",0.0605929019022458,"other"
"TalA",4.16290797119259,-3.67136718359861,"blue",0.144383034227543,"other"
"PaaJ",-3.26381479377629,6.01723574074832,"turquoise",0.168997490964924,"other"
"RpsO",4.69280876045345,-6.02310706702146,"blue",0.220260160775253,"other"
"RpsQ",4.7692161930096,-3.55163957205686,"blue",0.286625341445634,"other"
"GyrA",4.74762548332332,-2.26844932166013,"blue",0.26523457057909,"other"
"Fba",3.83004511718868,-6.66194440451535,"blue",0.538945148428187,"other"
"Gmk",4.64810718422054,-2.96308065977964,"blue",0.0721843928881653,"other"
"NusA",4.43109763984798,-2.94197990027341,"blue",0.303491729296544,"other"
"RibF",4.6079875362408,-4.9923768195239,"blue",0.114428171247835,"other"
"RplP",5.58481325035213,-1.88179852095517,"blue",0.237040989329075,"other"
"RplX",5.65194333915828,-1.79646350470456,"blue",0.252636680407888,"other"
"RpsN",5.15712274437069,-2.97346450415525,"blue",0.268615232180569,"other"
"RplO",5.82273830299495,-2.85898734656247,"blue",0.251369121248278,"other"
"SecY",5.71004213218807,-2.12264157858762,"blue",0.378149715092353,"other"
"RpoA",5.71787084465145,-3.17923165884885,"blue",0.352158656555541,"other"
"RplQ",4.36076201324581,-5.53200913992795,"blue",0.226852389442186,"other"
"ThyA",4.31169070129513,-3.11008621779355,"blue",0.0769208966570261,"other"
"UvrD",3.31938446884273,-2.72307302084836,"blue",0.221543009776131,"other"
"RpmA",5.67001022224544,-2.6560981425372,"blue",0.148149400476347,"other"
"CysS",4.36705030326961,-5.98090459433469,"blue",0.162167369836819,"other"
"PrfA",4.92554487114071,-0.599728599461642,"yellow",0.0639360587673036,"other"
"EngB",4.0315042865765,0.706968903270635,"yellow",0.0379196016435677,"other"
"RplL",4.36039389495968,-6.31043626395139,"blue",0.360038841327891,"other"
"Fmt",-4.33559833640934,4.15006040009585,"turquoise",0.1541995006126,"other"
"AtpG",-1.87209402198673,5.60570810708133,"turquoise",0.145334448206235,"other"
